Date,General and acute beds occupied by COVID-19 case,General and acute beds occupied by non-COVID-19 case,General and acute beds occupied,Vacant general and acute beds,General and acute beds available,Invasive ventilated bed occupied,Vacant invasive ventilated beds,Invasive ventilated beds available
01-Apr-20,241,348,589,524,1113,27,2,29
02-Apr-20,205,345,550,567,1117,27,15,42
03-Apr-20,216,308,524,597,1121,30,15,45
04-Apr-20,219,294,513,655,1168,35,16,51
05-Apr-20,231,243,474,654,1128,40,11,51
06-Apr-20,226,281,507,615,1122,40,17,57
07-Apr-20,208,284,492,630,1122,42,15,57
08-Apr-20,239,280,519,621,1140,46,11,57
09-Apr-20,243,264,507,646,1153,49,15,64
10-Apr-20,246,245,491,662,1153,49,15,64
11-Apr-20,244,231,475,678,1153,50,14,64
12-Apr-20,249,240,489,632,1121,48,16,64
13-Apr-20,203,287,490,659,1149,49,21,70
14-Apr-20,201,303,504,647,1151,50,20,70
15-Apr-20,211,289,500,647,1147,49,21,70
16-Apr-20,212,292,504,643,1147,48,22,70
17-Apr-20,202,310,512,633,1145,48,22,70
18-Apr-20,202,292,494,651,1145,45,25,70
19-Apr-20,203,313,516,629,1145,44,26,70
20 Apr 2020 (1),200,347,547,624,1171,44,26,70
21-Apr-20,179,382,561,610,1171,44,26,70
22-Apr-20,178,378,556,606,1162,44,26,70
23 Apr 2020 (2),241,443,684,776,1460,39,31,70
24-Apr-20,208,494,702,758,1460,37,33,70
25-Apr-20,250,418,668,792,1460,39,31,70
26-Apr-20,229,481,710,750,1460,37,33,70
27-Apr-20,232,466,698,766,1464,37,46,83
28-Apr-20,213,490,703,761,1464,37,46,83
29-Apr-20,191,505,696,768,1464,31,52,83
30-Apr-20,198,472,670,794,1464,28,55,83
01-May-20,196,476,672,792,1464,27,56,83
02-May-20,190,487,677,787,1464,27,56,83
03-May-20,186,490,676,788,1464,27,56,83
04-May-20,184,561,745,719,1464,29,54,83
05-May-20,169,545,714,750,1464,28,55,83
06-May-20,163,556,719,744,1463,29,54,83
07-May-20,174,546,720,686,1406,27,49,76
08-May-20,175,526,701,705,1406,24,52,76
09-May-20,150,559,709,697,1406,22,54,76
10-May-20,158,575,733,673,1406,21,55,76
11-May-20,153,622,775,631,1406,20,56,76
12-May-20,155,592,747,630,1377,19,57,76
13-May-20,141,591,732,645,1377,17,59,76
14-May-20,126,600,726,651,1377,20,56,76
15-May-20,124,573,697,680,1377,18,58,76
16-May-20,132,586,718,659,1377,18,58,76
17-May-20,123,616,739,638,1377,18,58,76
18-May-20,123,661,784,593,1377,21,55,76
19-May-20,111,651,762,615,1377,21,55,76
20-May-20,116,635,751,626,1377,20,56,76
21-May-20,120,625,745,632,1377,19,57,76
22-May-20,114,633,747,630,1377,18,58,76
23-May-20,121,611,732,645,1377,17,59,76
24-May-20,122,622,744,633,1377,21,55,76
25-May-20,105,671,776,601,1377,15,61,76
26 May 2020 (3),104,701,805,572,1377,13,63,76
27-May-20,112,706,818,559,1377,14,62,76
28-May-20,104,682,786,591,1377,13,63,76
29-May-20,106,671,777,600,1377,15,61,76
30-May-20,102,649,751,626,1377,15,61,76
31-May-20,92,685,777,600,1377,14,62,76
1 Jun 2020 (4),93,741,834,543,1377,13,63,76
02-Jun-20,95,745,840,537,1377,15,61,76
03-Jun-20,122,723,845,532,1377,16,60,76
4 Jun 2020 (5),131,691,822,555,1377,16,60,76
05-Jun-20,109,726,835,542,1377,18,58,76
06-Jun-20,125,693,818,559,1377,18,58,76
07-Jun-20,128,710,838,539,1377,16,60,76
08-Jun-20,102,778,880,497,1377,15,61,76
09-Jun-20,83,795,878,499,1377,16,60,76
10-Jun-20,96,716,812,565,1377,18,58,76
11-Jun-20,106,721,827,550,1377,18,58,76
12-Jun-20,60,789,849,528,1377,19,57,76
13-Jun-20,74,767,841,536,1377,15,61,76
14-Jun-20,74,783,857,520,1377,15,61,76
15-Jun-20,50,849,899,478,1377,13,19,32
16-Jun-20,70,835,905,472,1377,14,18,32
17-Jun-20,80,849,929,448,1377,18,14,32
18-Jun-20,93,844,937,440,1377,18,14,32
19-Jun-20,90,856,946,431,1377,16,16,32
20-Jun-20,89,811,900,477,1377,24,8,32
21-Jun-20,81,845,926,451,1377,15,17,32
22-Jun-20,57,899,956,421,1377,15,17,32
23-Jun-20,71,902,973,404,1377,18,14,32
24-Jun-20,99,859,958,419,1377,14,18,32
25-Jun-20,109,856,965,412,1377,16,16,32
26-Jun-20,104,873,977,400,1377,15,17,32
27-Jun-20,81,878,959,418,1377,13,19,32
28-Jun-20,79,890,969,408,1377,11,21,32
29-Jun-20,57,937,994,383,1377,12,20,32
30-Jun-20,59,945,1004,373,1377,10,22,32
01-Jul-20,58,936,994,383,1377,10,22,32
02-Jul-20,60,932,992,385,1377,10,22,32
03-Jul-20,56,956,1012,365,1377,11,21,32
04-Jul-20,78,894,972,405,1377,9,23,32
05-Jul-20,67,915,982,395,1377,9,23,32
06-Jul-20,54,976,1030,347,1377,13,19,32
07-Jul-20,62,985,1047,330,1377,16,16,32
08-Jul-20,72,970,1042,382,1424,17,15,32
09-Jul-20,59,961,1020,404,1424,16,16,32
10 Jul 2020 (6),53,1101,1154,465,1619,19,13,32
11-Jul-20,50,1061,1111,508,1619,14,18,32
12-Jul-20,70,1061,1131,488,1619,15,17,32
13-Jul-20,76,1100,1176,443,1619,16,16,32
14-Jul-20,56,1120,1176,443,1619,14,18,32
15-Jul-20,60,1118,1178,441,1619,16,16,32
16-Jul-20,62,1117,1179,440,1619,16,16,32
17-Jul-20,43,1151,1194,426,1620,12,20,32
18-Jul-20,61,1050,1111,509,1620,14,18,32
19-Jul-20,55,1102,1157,463,1620,12,20,32
20-Jul-20,39,1146,1185,435,1620,13,19,32
21-Jul-20,41,1171,1212,408,1620,11,21,32
22-Jul-20,45,1126,1171,449,1620,10,22,32
23-Jul-20,37,1151,1188,432,1620,9,23,32
24-Jul-20,49,1118,1167,453,1620,10,22,32
25-Jul-20,46,1093,1139,481,1620,11,21,32
26-Jul-20,64,1109,1173,447,1620,10,22,32
27-Jul-20,46,1176,1222,398,1620,9,23,32
28-Jul-20,51,1181,1232,388,1620,13,19,32
29-Jul-20,56,1191,1247,373,1620,19,13,32
30-Jul-20,57,1173,1230,390,1620,20,12,32
31-Jul-20,41,1167,1208,412,1620,18,14,32
01-Aug-20,37,1144,1181,439,1620,18,14,32
02-Aug-20,50,1142,1192,428,1620,14,18,32
03-Aug-20,50,1187,1237,383,1620,20,12,32
04-Aug-20,40,1212,1252,368,1620,19,13,32
05-Aug-20,41,1187,1228,392,1620,17,15,32
06-Aug-20,44,1183,1227,393,1620,13,19,32
07-Aug-20,27,1188,1215,405,1620,16,16,32
08-Aug-20,43,1152,1195,425,1620,16,16,32
09-Aug-20,42,1142,1184,436,1620,16,16,32
10-Aug-20,41,1175,1216,404,1620,21,11,32
11-Aug-20,40,1188,1228,392,1620,24,8,32
12-Aug-20,36,1204,1240,380,1620,22,10,32
13-Aug-20,41,1199,1240,380,1620,25,7,32
14-Aug-20,41,1215,1256,364,1620,17,15,32
15-Aug-20,100,1115,1215,405,1620,17,15,32
16-Aug-20,77,1178,1255,365,1620,16,16,32
17-Aug-20,80,1227,1307,313,1620,18,14,32
18-Aug-20,46,1251,1297,323,1620,16,16,32
19-Aug-20,49,1251,1300,320,1620,13,19,32
20-Aug-20,68,1226,1294,326,1620,12,20,32
21-Aug-20,44,1237,1281,339,1620,13,19,32
22-Aug-20,63,1156,1219,401,1620,10,22,32
23-Aug-20,36,1187,1223,397,1620,12,20,32
24-Aug-20,44,1217,1261,359,1620,11,21,32
25-Aug-20,37,1243,1280,340,1620,11,21,32
26-Aug-20,48,1222,1270,350,1620,8,24,32
27-Aug-20,48,1218,1266,354,1620,8,24,32
28-Aug-20,47,1190,1237,383,1620,10,22,32
29-Aug-20,22,1160,1182,438,1620,7,25,32
30-Aug-20,48,1143,1191,429,1620,11,21,32
31-Aug-20,51,1168,1219,401,1620,12,20,32
01-Sep-20,55,1215,1270,350,1620,15,17,32
02-Sep-20,72,1210,1282,338,1620,13,19,32
03-Sep-20,55,1229,1284,336,1620,16,16,32
04-Sep-20,42,1218,1260,360,1620,15,17,32
05-Sep-20,32,1211,1243,377,1620,18,14,32
06-Sep-20,59,1194,1253,367,1620,15,17,32
07-Sep-20,54,1222,1276,344,1620,15,17,32
08-Sep-20,21,1226,1247,373,1620,15,17,32
09-Sep-20,60,1177,1237,383,1620,13,19,32
10-Sep-20,28,1231,1259,361,1620,14,18,32
11-Sep-20,37,1234,1271,359,1630,12,20,32
12-Sep-20,65,1185,1250,380,1630,13,19,32
13-Sep-20,73,1213,1286,344,1630,15,17,32
14-Sep-20,62,1235,1297,333,1630,16,16,32
15-Sep-20,46,1260,1306,324,1630,17,15,32
16-Sep-20,65,1216,1281,349,1630,17,15,32
17-Sep-20,48,1240,1288,342,1630,15,17,32
18-Sep-20,30,1211,1241,389,1630,16,16,32
19-Sep-20,32,1173,1205,425,1630,12,20,32
20-Sep-20,32,1173,1205,425,1630,11,21,32
21-Sep-20,51,1192,1243,387,1630,15,17,32
22-Sep-20,39,1214,1253,377,1630,20,12,32
23-Sep-20,71,1145,1216,414,1630,20,12,32
24-Sep-20,61,1166,1227,403,1630,19,13,32
25-Sep-20,83,1121,1204,426,1630,20,12,32
26-Sep-20,80,1120,1200,430,1630,19,13,32
27-Sep-20,138,1073,1211,419,1630,17,15,32
28-Sep-20,117,1142,1259,371,1630,20,12,32
29-Sep-20,134,1123,1257,373,1630,22,10,32
30-Sep-20,166,1099,1265,365,1630,19,13,32
01-Oct-20,155,1087,1242,388,1630,19,13,32
02-Oct-20,169,1106,1275,359,1634,20,12,32
03-Oct-20,113,1120,1233,401,1634,18,14,32
04-Oct-20,177,1070,1247,387,1634,20,12,32
05-Oct-20,187,1088,1275,359,1634,19,13,32
06-Oct-20,110,1163,1273,361,1634,20,12,32
07-Oct-20,149,1092,1241,393,1634,19,13,32
08-Oct-20,156,1101,1257,377,1634,20,12,32
09-Oct-20,161,1111,1272,362,1634,19,13,32
10-Oct-20,208,1021,1229,405,1634,16,16,32
11-Oct-20,163,1079,1242,392,1634,20,12,32
12-Oct-20,170,1111,1281,353,1634,17,15,32
13-Oct-20,193,1081,1274,360,1634,17,15,32
14-Oct-20,209,1041,1250,384,1634,21,11,32
15-Oct-20,221,1029,1250,384,1634,21,11,32
16-Oct-20,197,1046,1243,388,1631,22,10,32
17-Oct-20,222,996,1218,413,1631,24,8,32
18-Oct-20,216,1024,1240,391,1631,19,13,32
19-Oct 2020 (7),233,1039,1272,359,1631,19,14,33
20-Oct-20,240,1012,1252,379,1631,17,17,34
21-Oct-20,263,996,1259,372,1631,19,15,34
22-Oct-20,286,975,1261,370,1631,23,12,35
23-Oct-20,263,998,1261,369,1630,21,14,35
24-Oct-20,268,968,1236,394,1630,20,15,35
25-Oct-20,257,979,1236,394,1630,21,14,35
26-Oct-20,277,987,1264,366,1630,18,17,35
27-Oct-20,281,985,1266,364,1630,22,13,35
28-Oct-20,296,1001,1297,337,1634,18,17,35
29-Oct-20,365,896,1261,373,1634,21,14,35
30-Oct-20,344,914,1258,420,1678,22,13,35
31-Oct-20,333,918,1251,427,1678,19,16,35
01-Nov-20,371,901,1272,406,1678,17,18,35
02-Nov-20,339,966,1305,373,1678,17,18,35
03-Nov-20,357,941,1298,380,1678,17,18,35
