Date,General and acute beds occupied by COVID-19 case,General and acute beds occupied by non-COVID-19 case,General and acute beds occupied,Vacant general and acute beds,General and acute beds available,Invasive ventilated bed occupied,Vacant invasive ventilated beds,Invasive ventilated beds available
01-Apr-20,158,510,668,683,1351,32,31,63
02-Apr-20,160,565,725,620,1345,38,17,55
03-Apr-20,160,511,671,680,1351,40,23,63
04-Apr-20,170,452,622,729,1351,40,23,63
05-Apr-20,162,439,601,750,1351,38,25,63
06-Apr-20,180,456,636,715,1351,45,26,71
07-Apr-20,180,458,638,705,1343,46,25,71
08-Apr-20,200,463,663,675,1338,46,30,76
09-Apr-20,190,433,623,714,1337,48,27,75
10-Apr-20,191,427,618,715,1333,47,32,79
11-Apr-20,210,411,621,704,1325,48,39,87
12-Apr-20,220,393,613,712,1325,49,38,87
13-Apr-20,217,388,605,720,1325,50,37,87
14-Apr-20,206,426,632,693,1325,50,37,87
15-Apr-20,214,399,613,705,1318,48,46,94
16-Apr-20,205,396,601,717,1318,51,43,94
17-Apr-20,203,420,623,695,1318,51,43,94
18-Apr-20,210,408,618,700,1318,51,43,94
19-Apr-20,193,430,623,695,1318,51,43,94
20 Apr 2020 (1),186,470,656,984,1640,52,42,94
21-Apr-20,215,459,674,966,1640,49,45,94
22-Apr-20,193,478,671,969,1640,49,45,94
23 Apr 2020 (2),233,527,760,1046,1806,51,43,94
24-Apr-20,229,533,762,1044,1806,45,49,94
25-Apr-20,250,697,947,1112,2059,46,48,94
26-Apr-20,248,685,933,1126,2059,40,54,94
27-Apr-20,266,687,953,1110,2063,35,55,90
28-Apr-20,251,711,962,836,1798,38,45,83
29-Apr-20,259,724,983,795,1778,36,47,83
30-Apr-20,250,736,986,1084,2070,38,50,88
01-May-20,126,843,969,1101,2070,36,52,88
02-May-20,135,791,926,1144,2070,38,50,88
03-May-20,99,816,915,1150,2065,41,47,88
04-May-20,125,830,955,1110,2065,42,46,88
05-May-20,126,855,981,1084,2065,38,50,88
06-May-20,120,850,970,1095,2065,39,49,88
07-May-20,110,863,973,1092,2065,36,52,88
08-May-20,109,836,945,1120,2065,38,50,88
09-May-20,110,833,943,1122,2065,40,48,88
10-May-20,99,870,969,1096,2065,36,52,88
11-May-20,88,892,980,1085,2065,35,53,88
12-May-20,102,879,981,1084,2065,32,56,88
13-May-20,96,900,996,1069,2065,30,58,88
14-May-20,103,893,996,1069,2065,30,58,88
15-May-20,86,928,1014,1051,2065,30,58,88
16-May-20,99,867,966,1099,2065,33,55,88
17-May-20,80,899,979,1086,2065,35,53,88
18-May-20,77,950,1027,1038,2065,38,50,88
19-May-20,96,928,1024,1041,2065,40,48,88
20-May-20,103,928,1031,1034,2065,43,55,98
21-May-20,121,892,1013,1042,2055,42,56,98
22-May-20,241,771,1012,1043,2055,41,57,98
23-May-20,216,766,982,1073,2055,38,60,98
24-May-20,220,772,992,1063,2055,37,61,98
25-May-20,212,811,1023,1032,2055,34,64,98
26 May 2020 (3),240,832,1072,983,2055,40,58,98
27-May-20,238,835,1073,982,2055,39,59,98
28-May-20,243,841,1084,971,2055,38,60,98
29-May-20,240,853,1093,962,2055,39,59,98
30-May-20,241,821,1062,993,2055,41,57,98
31-May-20,242,821,1063,992,2055,40,58,98
1 Jun 2020 (4),230,893,1123,932,2055,41,57,98
02-Jun-20,261,888,1149,569,1718,44,49,93
03-Jun-20,233,879,1112,606,1718,41,52,93
4 Jun 2020 (5),242,871,1113,605,1718,39,54,93
05-Jun-20,226,893,1119,599,1718,38,55,93
06-Jun-20,226,873,1099,619,1718,42,51,93
07-Jun-20,197,906,1103,615,1718,40,53,93
08-Jun-20,200,924,1124,629,1753,42,37,79
09-Jun-20,205,899,1104,649,1753,42,37,79
10-Jun-20,191,899,1090,663,1753,43,36,79
11-Jun-20,216,873,1089,664,1753,43,36,79
12-Jun-20,227,861,1088,665,1753,42,37,79
13-Jun-20,247,825,1072,681,1753,39,40,79
14-Jun-20,198,868,1066,687,1753,35,44,79
15-Jun-20,232,872,1104,649,1753,37,42,79
16-Jun-20,233,883,1116,315,1431,37,42,79
17-Jun-20,219,895,1114,317,1431,36,43,79
18-Jun-20,236,892,1128,303,1431,37,42,79
19-Jun-20,216,909,1125,306,1431,35,44,79
20-Jun-20,216,878,1094,337,1431,39,40,79
21-Jun-20,229,874,1103,328,1431,39,40,79
22-Jun-20,211,908,1119,312,1431,35,44,79
23-Jun-20,235,912,1147,284,1431,35,44,79
24-Jun-20,258,892,1150,281,1431,33,46,79
25-Jun-20,226,914,1140,291,1431,33,46,79
26-Jun-20,213,903,1116,315,1431,36,43,79
27-Jun-20,203,881,1084,347,1431,38,41,79
28-Jun-20,185,909,1094,337,1431,39,40,79
29-Jun-20,185,926,1111,320,1431,41,38,79
30-Jun-20,230,901,1131,300,1431,41,38,79
01-Jul-20,191,926,1117,314,1431,37,42,79
02-Jul-20,170,938,1108,323,1431,39,40,79
03-Jul-20,175,946,1121,310,1431,40,39,79
04-Jul-20,168,917,1085,346,1431,40,39,79
05-Jul-20,162,934,1096,335,1431,41,38,79
06-Jul-20,176,971,1147,284,1431,39,40,79
07-Jul-20,171,963,1134,297,1431,38,41,79
08-Jul-20,173,987,1160,275,1435,38,41,79
09-Jul-20,173,1013,1186,249,1435,39,40,79
10 Jul 2020 (6),170,998,1168,371,1539,38,41,79
11-Jul-20,165,989,1154,385,1539,39,40,79
12-Jul-20,166,991,1157,382,1539,39,40,79
13-Jul-20,165,1030,1195,344,1539,38,41,79
14-Jul-20,167,1035,1202,337,1539,36,43,79
15-Jul-20,173,1038,1211,328,1539,35,44,79
16-Jul-20,157,1054,1211,328,1539,35,44,79
17-Jul-20,158,1044,1202,337,1539,34,45,79
18-Jul-20,152,999,1151,388,1539,33,46,79
19-Jul-20,150,1009,1159,380,1539,35,44,79
20-Jul-20,149,1062,1211,328,1539,37,42,79
21-Jul-20,144,1069,1213,326,1539,39,40,79
22-Jul-20,139,1074,1213,326,1539,40,39,79
23-Jul-20,141,1059,1200,339,1539,38,41,79
24-Jul-20,142,1042,1184,355,1539,38,41,79
25-Jul-20,141,1013,1154,385,1539,35,44,79
26-Jul-20,138,1015,1153,386,1539,34,45,79
27-Jul-20,129,1064,1193,346,1539,34,45,79
28-Jul-20,140,1081,1221,318,1539,39,40,79
29-Jul-20,139,1081,1220,319,1539,39,40,79
30-Jul-20,133,1089,1222,317,1539,37,42,79
31-Jul-20,125,1094,1219,320,1539,42,37,79
01-Aug-20,123,1036,1159,380,1539,42,37,79
02-Aug-20,125,1043,1168,371,1539,43,36,79
03-Aug-20,122,1100,1222,317,1539,43,36,79
04-Aug-20,143,1076,1219,320,1539,41,38,79
05-Aug-20,130,1085,1215,324,1539,39,40,79
06-Aug-20,122,1110,1232,307,1539,38,41,79
07-Aug-20,110,1097,1207,332,1539,41,38,79
08-Aug-20,121,1041,1162,377,1539,42,37,79
09-Aug-20,97,1070,1167,372,1539,40,39,79
10-Aug-20,91,1117,1208,331,1539,42,37,79
11-Aug-20,103,1126,1229,310,1539,37,42,79
12-Aug-20,117,1135,1252,287,1539,44,35,79
13-Aug-20,109,1149,1258,281,1539,42,37,79
14-Aug-20,86,1188,1274,265,1539,41,38,79
15-Aug-20,95,1130,1225,314,1539,38,41,79
16-Aug-20,92,1129,1221,318,1539,35,44,79
17-Aug-20,95,1183,1278,261,1539,34,45,79
18-Aug-20,94,1190,1284,255,1539,37,42,79
19-Aug-20,98,1185,1283,256,1539,32,47,79
20-Aug-20,81,1206,1287,252,1539,35,44,79
21-Aug-20,81,1211,1292,247,1539,34,45,79
22-Aug-20,81,1129,1210,329,1539,29,50,79
23-Aug-20,73,1126,1199,340,1539,32,47,79
24-Aug-20,72,1179,1251,288,1539,32,47,79
25-Aug-20,78,1159,1237,302,1539,37,42,79
26-Aug-20,97,1140,1237,302,1539,38,41,79
27-Aug-20,101,1146,1247,292,1539,42,37,79
28-Aug-20,97,1136,1233,306,1539,42,37,79
29-Aug-20,85,1082,1167,372,1539,43,36,79
30-Aug-20,72,1117,1189,350,1539,42,37,79
31-Aug-20,79,1115,1194,345,1539,43,36,79
01-Sep-20,65,1181,1246,293,1539,44,35,79
02-Sep-20,70,1180,1250,289,1539,44,35,79
03-Sep-20,101,1162,1263,276,1539,42,37,79
04-Sep-20,76,1160,1236,303,1539,48,31,79
05-Sep-20,67,1139,1206,333,1539,48,31,79
06-Sep-20,67,1135,1202,337,1539,49,30,79
07-Sep-20,65,1188,1253,286,1539,44,35,79
08-Sep-20,75,1178,1253,286,1539,41,38,79
09-Sep-20,80,1189,1269,270,1539,42,37,79
10-Sep-20,65,1185,1250,289,1539,45,34,79
11-Sep-20,74,1164,1238,301,1539,46,33,79
12-Sep-20,62,1133,1195,344,1539,46,33,79
13-Sep-20,49,1160,1209,330,1539,46,33,79
14-Sep-20,57,1205,1262,277,1539,45,34,79
15-Sep-20,64,1211,1275,264,1539,49,30,79
16-Sep-20,63,1196,1259,280,1539,48,31,79
17-Sep-20,76,1192,1268,271,1539,42,37,79
18-Sep-20,65,1217,1282,257,1539,40,39,79
19-Sep-20,54,1204,1258,281,1539,39,40,79
20-Sep-20,45,1199,1244,295,1539,46,33,79
21-Sep-20,73,1233,1306,233,1539,47,32,79
22-Sep-20,63,1219,1282,257,1539,44,35,79
23-Sep-20,65,1196,1261,278,1539,40,39,79
24-Sep-20,63,1211,1274,265,1539,38,41,79
25-Sep-20,76,1168,1244,295,1539,35,44,79
26-Sep-20,79,1118,1197,342,1539,41,38,79
27-Sep-20,69,1113,1182,357,1539,39,40,79
28-Sep-20,65,1168,1233,306,1539,36,43,79
29-Sep-20,75,1200,1275,264,1539,38,41,79
30-Sep-20,91,1181,1272,267,1539,38,41,79
01-Oct-20,97,1183,1280,259,1539,43,36,79
02-Oct-20,50,1203,1253,286,1539,43,36,79
03-Oct-20,60,1147,1207,332,1539,42,37,79
04-Oct-20,54,1176,1230,309,1539,41,38,79
05-Oct-20,63,1224,1287,252,1539,41,38,79
06-Oct-20,65,1231,1296,243,1539,42,37,79
07-Oct-20,85,1218,1303,236,1539,44,35,79
08-Oct-20,83,1204,1287,252,1539,43,36,79
09-Oct-20,82,1202,1284,255,1539,44,35,79
10-Oct-20,79,1138,1217,322,1539,46,33,79
11-Oct-20,75,1142,1217,322,1539,44,35,79
12-Oct-20,88,1176,1264,275,1539,47,32,79
13-Oct-20,85,1172,1257,282,1539,49,30,79
14-Oct-20,93,1174,1267,272,1539,47,32,79
15-Oct-20,95,1190,1285,254,1539,44,35,79
16-Oct-20,101,1189,1290,249,1539,47,32,79
17-Oct-20,97,1147,1244,295,1539,47,32,79
18-Oct-20,104,1132,1236,303,1539,47,32,79
19-Oct 2020 (7),87,1241,1328,211,1539,38,51,89
20-Oct-20,90,1239,1329,210,1539,38,51,89
21-Oct-20,78,1232,1310,229,1539,39,50,89
22-Oct-20,104,1196,1300,239,1539,38,51,89
23-Oct-20,86,1191,1277,262,1539,31,58,89
24-Oct-20,93,1159,1252,287,1539,31,58,89
25-Oct-20,83,1180,1263,276,1539,29,60,89
26-Oct-20,99,1185,1284,255,1539,30,59,89
27-Oct-20,119,1167,1286,253,1539,30,59,89
28-Oct-20,97,1193,1290,249,1539,28,61,89
29-Oct-20,103,1153,1256,283,1539,26,63,89
30-Oct-20,111,1130,1241,298,1539,31,58,89
31-Oct-20,100,1103,1203,336,1539,34,55,89
01-Nov-20,107,1091,1198,341,1539,33,56,89
02-Nov-20,136,1126,1262,277,1539,37,52,89
03-Nov-20,133,1121,1254,314,1568,36,53,89
